false	93	4073	blue	Plate, Round 1 x 1 Straight Side
false	93	4070	L bluish gray	Brick, Modified 1 x 1 with Headlight
false	372	64567	L bluish gray	Minifig, Weapon Lightsaber Hilt Straight
false	93	54200	L bluish gray	Slope 30 1 x 1 x 2/3
false	372	15712	L bluish gray	Tile, Modified 1 x 1 with Clip - Rounded Edges
false	186	3070b	red	Tile 1 x 1 with Groove
false	93	52107	red	Brick, Modified 1 x 2 with Studs on 2 Sides
false	93	54200	T-black	Slope 30 1 x 1 x 2/3
false	186	3005	white	Brick 1 x 1
false	93	4733	white	Brick, Modified 1 x 1 with Studs on 4 Sides
false	372	3839b	white	Plate, Modified 1 x 2 with Handles - Flat Ends, Low Attachment
false	93	15573	white	Plate, Modified 1 x 2 with 1 Stud with Groove and Bottom Stud Holder &#40;Jumper&#41;
